PRIORITY	TEST SYSTEM AVAILABLE?	ARCHITECTURE	BITS	ENDIANESS	NAME	TYPE	COMMENTS
0	N/A	srcs	--	--	sources	generic	source code for all shipped versions
1	YES	i486	32	LE	i486	generic	32 bit Intel & AMD CPUs [BIOS]
TBD	YES	amd64	64	LE	i686-64	generic	64 bit AMD & Intel CPUs [UEFI]
TBD	YES	rpi0	32	LE	ARMv5r11	custom	Image for Raspberry Pi Zero [BCM2835 SoC]
TBD	YES	p11z	32	LE	i686-atom	custom	Image for Sony Vaio P11Z Netbooks [Atom Z520 CPU]
TBD	YES	ion330	64	LE	i686-64-atom	custom	Image for nvidia Ion - based Nettops [Atom 330 CPU + GeForce 9400M GPU]
TBD	YES	bpi0m2	32	LE	ARMv7	custom	Image for Banana Pi Zero M2 [boot.bin]
TBD	YES	rpi3	64	LE	ARMv7	custom	Image for Raspberry Pi 3 + CM3 [BCM2837 SoC]
TBD	YES	xenon	64	BE	ppc64	custom	Image for modded Xbox 360's [Xenon CPU]
TBD	YES	rpi0w2	64	LE	ARMv7	custom	Image for Raspberry Pi Zero 2 W [RP3A0-AU SoC]
TBD	YES	vortex	32	LE	i486	custom	Image for Vortex86 SoCs [BIOS]
TBD	YES	iatom64	32	LE	i686-64-atom	custom	Image for Intel Atom based Nettops [Atom 330 CPU]
TBD	NO	rpi4	64	LE	ARMv8-A	custom	Image for Raspberry Pi 4, Pi400 + CM4 [BCM2711 SoC]
TBD	NO	rpi5	64	LE	ARMv8-A	custom	Image for Raspberry Pi 5, Pi500 + CM5 [BCM2712 SoC]
TBD	NO	arm11v5	32	LE	ARMv5r11	generic	32 bit low-end ARM SoCs [boot.bin]
TBD	NO	arm64v7	64	LE	ARMv7	generic	64 bit low-end ARM SoCs [UEFI]
TBD	NO	iatom32	32	LE	i686-atom	custom	Image for Intel Atom based Netbooks [Atom N270 CPU]
TBD	NO	ion270	32	LE	i686-atom	custom	Image for nvidia Ion - based Netbooks [Atom N270 CPU + GeForce 9400M GPU]
TBD	NO	aapple	64	LE	ARMv8.5-A	custom	Image for 'AppleSilicon' Devices [AEFI]
TBD	NO	apple64	64	LE	i686-64	custom	Image for 64bit Intel-based Macs [AEFI]
TBD	NO	apple32	32	LE	i686	custom	Image for 32bit Intel-based Macs [AEFI]
TBD	NO	ppc64a	64	LE	ppc64le	custom	Image for 64bit PowerPC-based Macs [OpenFirmware]
TBD	NO	ppc32a	32	LE	ppc32le	custom	Image for 32bit PowerPC-based Macs [OpenFirmware]
TBD	NO	cell	64	BE	ppc64	custom	'Other OS' ISO for modded Playstation 3 [Cell CPU]
TBD	NO	broadwy	32	BE	ppc750	custom	Image for modded Nintendo Wii [Broadway CPU]
TBD	NO	niagara	64	BI	SPARCv9	custom	Image for UltraSparc T2 based Servers
TBD	NO	xbox	32	LE	i586	custom	Image for modded Xbox Classic [P3 CPU]
TBD	NO	indigo	64	BE	mips3	custom	Image for SGI Workstations [MIPS R4400 and higher]
TBD	NO	itanium	64	LE	IA64	generic	Intel Itanium-based Servers
TBD	NO	viaopen	32	LE	i686	custom	Image for VIA OpenBook - based Netbooks [VIA Nano CPU]
TBD	NO	oc486	32	LE	i486	custom	Image for OpenCores ao486 FPGA-based implementation [BIOS]
